x_r y_r z_r a_r b_r c_r x_c y_c z_c a_c b_c c_c
0.700457 -0.49964 1.41029 1.57103 -7.33178e-05 1.04092e-05 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700449 -0.499668 1.41029 1.57101 -6.23316e-05 1.59697e-05 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700437 -0.499693 1.4103 1.57102 -6.19375e-05 1.63506e-05 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.70043 -0.499712 1.41031 1.57101 -5.01966e-05 -4.78418e-07 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700419 -0.499737 1.41031 1.57101 -4.98261e-05 -1.11617e-07 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700413 -0.499752 1.41033 1.57102 -4.81488e-05 -4.84784e-05 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700405 -0.499775 1.41034 1.57102 -4.16181e-05 -6.26435e-05 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700395 -0.499795 1.41036 1.57102 -6.05813e-05 -9.64512e-05 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.70038 -0.499824 1.41036 1.57099 -5.66015e-05 -0.000106869 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700369 -0.499841 1.41036 1.57099 -4.71782e-05 -0.000114089 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700361 -0.499855 1.41036 1.57098 -5.4906e-05 -0.00011764 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700356 -0.499869 1.41037 1.57099 -6.26071e-05 -0.000121194 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700352 -0.499876 1.41037 1.571 -6.86476e-05 -0.000116263 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700334 -0.499902 1.41037 1.57098 -7.63769e-05 -0.00011983 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700326 -0.499918 1.41036 1.57096 -9.01918e-05 -0.000108723 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700317 -0.499932 1.41036 1.57096 -9.79204e-05 -0.000112291 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700309 -0.499949 1.41035 1.57097 -0.000116222 -8.79404e-05 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700297 -0.499972 1.41035 1.57094 -0.000131751 -8.53473e-05 0.700206 -0.500085 1.41036 1.57098 -8.9803e-06 0.000113873
0.700284 -0.499994 1.41035 1.5709 -0.000143948 -6.58413e-05 0.700886 -0.499067 1.41025 1.57069 -0.000167754 -5.60322e-05
0.700279 -0.500001 1.41034 1.57091 -0.000150054 -6.09977e-05 0.700886 -0.499067 1.41025 1.57069 -0.000167754 -5.60322e-05
0.700285 -0.499993 1.41034 1.57076 -0.000164629 -6.96933e-05 0.700886 -0.499067 1.41025 1.57069 -0.000167754 -5.60322e-05
0.700309 -0.499951 1.41034 1.57054 -0.000158465 -0.00011473 0.701044 -0.498825 1.41019 1.57123 2.62795e-05 0.000153949
0.700322 -0.499933 1.41033 1.57064 -0.000147606 -0.000103772 0.701044 -0.498825 1.41019 1.57123 2.62795e-05 0.000153949
0.700328 -0.49992 1.41033 1.57068 -0.000140219 -0.000119666 0.701044 -0.498825 1.41019 1.57123 2.62795e-05 0.000153949
0.70034 -0.499906 1.41032 1.57068 -0.000133133 -0.000103702 0.701044 -0.498825 1.41019 1.57123 2.62795e-05 0.000153949
0.700349 -0.499897 1.41032 1.57065 -0.000139313 -8.9132e-05 0.701044 -0.498825 1.41019 1.57123 2.62795e-05 0.000153949
0.700364 -0.499871 1.41032 1.57065 -0.000131982 -0.000104911 0.70182 -0.497468 1.40988 1.57107 -0.000197004 0.000318236
0.700373 -0.499859 1.41032 1.57064 -0.000131986 -0.000104906 0.701685 -0.497556 1.41006 1.57091 -5.75071e-05 -0.000241514
0.700401 -0.499803 1.4103 1.5704 -0.000114508 -0.000129414 0.701685 -0.497556 1.41006 1.57091 -5.75071e-05 -0.000241514
0.700469 -0.49968 1.4103 1.5699 -7.69766e-05 -0.000219762 0.700202 -0.495783 1.41021 1.57102 -3.92953e-05 6.22361e-05
0.70053 -0.499571 1.4103 1.57011 -3.45806e-05 -0.000323142 0.700202 -0.495783 1.41021 1.57102 -3.92953e-05 6.22361e-05
0.700587 -0.499367 1.41028 1.5701 5.13546e-05 -0.000175801 0.700202 -0.495783 1.41021 1.57102 -3.92953e-05 6.22361e-05
