x_r y_r z_r a_r b_r c_r x_c y_c z_c a_c b_c c_c
0.700467 -0.499642 1.4103 1.571 -5.82984e-05 2.31523e-06 0.700207 -0.500085 1.41036 1.57098 -9.15686e-06 0.000113871
0.700469 -0.499652 1.4103 1.57102 -5.26716e-05 1.37144e-07 0.700207 -0.500085 1.41036 1.57098 -9.26714e-06 0.000113878
0.700452 -0.499685 1.41031 1.57101 -6.20559e-05 -1.17698e-05 0.700207 -0.500084 1.41036 1.57098 -9.66425e-06 0.000113874
0.700438 -0.499713 1.41032 1.57099 -5.004e-05 -1.84297e-05 0.700207 -0.500084 1.41036 1.57098 -1.04302e-05 0.000113874
0.700428 -0.499736 1.41034 1.57099 -5.66861e-05 -7.18138e-05 0.700207 -0.500083 1.41036 1.57098 -1.15827e-05 0.000113869
0.700416 -0.499761 1.41035 1.57098 -5.6316e-05 -7.14608e-05 0.700208 -0.50008 1.41036 1.57098 -1.30545e-05 0.000113881
0.700414 -0.499775 1.41036 1.57099 -4.62471e-05 -9.64771e-05 0.700209 -0.500077 1.41036 1.57097 -1.4751e-05 0.000113874
0.700402 -0.499796 1.41038 1.57098 -4.19079e-05 -0.000148517 0.70021 -0.500071 1.41036 1.57097 -1.6573e-05 0.000113865
0.700389 -0.499822 1.41038 1.57097 -4.95653e-05 -0.000151935 0.700211 -0.500064 1.41036 1.57097 -1.85072e-05 0.000113876
0.700381 -0.49984 1.41039 1.57097 -4.76058e-05 -0.000143292 0.700213 -0.500053 1.41036 1.57097 -2.06361e-05 0.00011388
0.700372 -0.499854 1.41039 1.57097 -5.52435e-05 -0.00014676 0.700215 -0.500039 1.41036 1.57097 -2.31241e-05 0.000113881
0.700363 -0.499868 1.41039 1.57096 -6.29741e-05 -0.000150325 0.700218 -0.500021 1.41036 1.57097 -2.61315e-05 0.000113881
0.700355 -0.499884 1.41038 1.57096 -7.68143e-05 -0.000139229 0.700222 -0.499998 1.41036 1.57097 -2.97914e-05 0.000113891
0.700347 -0.499896 1.41038 1.57094 -7.32102e-05 -0.000122175 0.700227 -0.49997 1.41036 1.57097 -3.42361e-05 0.000113888
0.700335 -0.499909 1.41038 1.57094 -7.35346e-05 -0.00014144 0.700233 -0.499935 1.41036 1.57097 -3.95492e-05 0.000113889
0.700328 -0.49992 1.41038 1.57091 -6.54715e-05 -0.000137662 0.70024 -0.499893 1.41036 1.57097 -4.58321e-05 0.000113902
0.700324 -0.49993 1.41037 1.5709 -7.76949e-05 -0.000118166 0.70025 -0.499843 1.41036 1.57096 -5.31562e-05 0.000113909
0.700316 -0.499939 1.41037 1.57088 -5.83215e-05 -9.37819e-05 0.700261 -0.499784 1.41036 1.57096 -6.15548e-05 0.000113914
0.700308 -0.49995 1.41036 1.57087 -5.46489e-05 -7.66466e-05 0.700274 -0.499717 1.41036 1.57096 -7.09205e-05 0.000113909
0.700301 -0.499956 1.41037 1.57086 -5.19783e-05 -8.03347e-05 0.70029 -0.499639 1.41036 1.57095 -8.09685e-05 0.000113935
0.700298 -0.499961 1.41037 1.57083 -4.22925e-05 -6.81422e-05 0.700307 -0.49955 1.41036 1.57095 -9.08493e-05 0.000113938
0.700303 -0.499953 1.41036 1.57083 -3.25399e-05 -5.58666e-05 0.700326 -0.499448 1.41036 1.57095 -9.92951e-05 0.000113967
0.700292 -0.499964 1.41037 1.57079 -2.02372e-05 -4.74195e-05 0.700346 -0.499332 1.41035 1.57095 -0.000105245 0.000114001
0.700293 -0.499961 1.41036 1.57075 -8.86239e-06 -2.67293e-05 0.700367 -0.4992 1.41035 1.57094 -0.000108321 0.000114034
0.700291 -0.499958 1.41036 1.5707 -1.24181e-05 -1.5986e-05 0.700387 -0.499053 1.41034 1.57094 -0.000108898 0.00011409
0.70029 -0.499948 1.41037 1.57065 5.12164e-06 -4.28447e-05 0.700407 -0.498888 1.41033 1.57094 -0.000107631 0.000114158
0.70029 -0.499939 1.41037 1.57058 -3.89929e-06 -3.96477e-05 0.700427 -0.498704 1.41033 1.57094 -0.000105121 0.000114245
0.700303 -0.499904 1.41039 1.57054 9.76359e-06 -6.56995e-05 0.700445 -0.498501 1.41032 1.57095 -0.000102112 0.000114346
